date,prior_close_exposure,low,nav_at_low_usd,margin_ratio_at_low,gross_exposure_at_low,debt_usd
2006-01-04 00:00:00+00:00,1.7561465127947817,41.31999969482422,119416.79821720487,0.5694629267075889,1.756040565768886,90283.94368644446
2006-01-05 00:00:00+00:00,1.7427822879452701,41.709999084472656,121381.71645977363,0.5734207929072037,1.7439200188923552,90298.2888019413
2006-01-06 00:00:00+00:00,1.7374451126249393,42.060001373291016,123143.59528300013,0.5769031219589523,1.733393288988219,90312.68636243361
2006-01-09 00:00:00+00:00,1.7151207806820499,42.52000045776367,125463.76036347091,0.5814138621838327,1.7199452318593287,90327.03604482231
2006-01-10 00:00:00+00:00,1.7104616299687307,42.54999923706055,125601.57819924456,0.581642165170043,1.7192701284090195,90341.46327974614
2006-01-11 00:00:00+00:00,1.709805570907098,42.869998931884766,127211.18570809334,0.584698757009638,1.7102824112614219,90355.86772416907
2006-01-12 00:00:00+00:00,1.7007769482516313,42.849998474121094,127095.27579991362,0.584438664629465,1.7110435371930799,90370.27446530064
2006-01-13 00:00:00+00:00,1.70680994930049,42.72999954223633,126471.76670775162,0.5832047330117756,1.7146637250967043,90384.78391492313
2006-01-17 00:00:00+00:00,1.7075654520638073,42.5,125289.94733335784,0.5808816258358408,1.7215211422139278,90399.3459078872
2006-01-18 00:00:00+00:00,1.7157228517598997,42.02000045776367,122839.31484252842,0.5760254545361152,1.7360343924476742,90413.96046880896
2006-01-19 00:00:00+00:00,1.7303017471180362,42.290000915527344,124195.16255435755,0.578665150698184,1.7281151263273027,90428.37647250594
2006-01-20 00:00:00+00:00,1.7213356005637486,41.150001525878906,118395.22436760298,0.5669237770707436,1.7639055556408862,90442.76965576115
2006-01-23 00:00:00+00:00,1.760645080402413,41.08000183105469,118025.55236564735,0.5661166525498998,1.7664203932101359,90457.19025292293
2006-01-24 00:00:00+00:00,1.7605340401107388,41.310001373291016,119178.33659663664,0.5684633274344699,1.7591284287644322,90471.66340336339
2006-01-25 00:00:00+00:00,1.7549492181903772,41.08000183105469,117996.55348702714,0.5659775576864307,1.7668545093691355,90486.18913154314
2006-01-26 00:00:00+00:00,1.7609633857869456,41.22999954223633,118743.06905947773,0.5674861704445618,1.7621574799199284,90500.91827232957
2006-01-27 00:00:00+00:00,1.7518743290181105,41.7400016784668,121316.59474232521,0.5727011985408287,1.74611124011592,90515.67494983676
2006-01-30 00:00:00+00:00,1.7347388198007325,42.06999969482422,122976.46379936567,0.5759832241354564,1.736161676411648,90530.55974971737
2006-01-31 00:00:00+00:00,1.7325340475198672,41.810001373291016,121641.92321536892,0.5732755752388781,1.7443617750212197,90545.59788158692
2006-02-01 00:00:00+00:00,1.7385076520500453,41.70000076293945,121068.64999816332,0.5720789652484001,1.7480104334299271,90560.6133599023
2006-02-02 00:00:00+00:00,1.3935310218956458,41.40999984741211,120132.95263601362,0.7125073722256672,1.4034942499981282,48472.95562392899
2006-02-03 00:00:00+00:00,1.403220919306676,40.779998779296875,117559.77389366877,0.7080174695183342,1.4123945284574715,48481.00752044651
2006-02-06 00:00:00+00:00,1.4104045556893423,40.59000015258789,116778.07747825516,0.7066017490210591,1.415224348631207,48489.101155313125
2006-02-07 00:00:00+00:00,1.412063559384612,40.439998626708984,116159.23282776301,0.7054643025784351,1.4175061677040957,48497.19614136711
